iter	Passed	Remaining
0	57	57935
1	58	29066
2	58	19436
3	58	14625
4	58	11733
5	59	9807
6	59	8430
7	59	7400
8	59	6596
9	60	5951
10	60	5430
11	60	4991
12	60	4623
13	61	4303
14	61	4030
15	61	3790
16	61	3577
17	62	3387
18	62	3218
19	62	3066
20	62	2928
21	63	2801
22	63	2689
23	63	2583
24	63	2488
25	64	2398
26	64	2313
27	64	2237
28	64	2164
29	64	2096
30	65	2033
31	65	1973
32	65	1919
33	65	1867
34	65	1818
35	66	1771
36	66	1727
37	66	1685
38	66	1645
39	67	1608
40	67	1571
41	67	1537
42	67	1504
43	67	1474
44	68	1443
45	68	1415
46	68	1388
47	68	1361
48	68	1337
49	69	1318
50	69	1294
51	69	1273
52	70	1251
53	70	1231
54	70	1211
55	70	1191
56	70	1173
57	71	1155
58	71	1138
59	71	1121
60	71	1105
61	72	1089
62	72	1074
63	72	1060
64	72	1045
65	72	1031
66	73	1017
67	73	1004
68	73	992
69	73	980
70	73	968
71	74	956
72	74	944
73	74	933
74	74	922
75	75	912
76	75	901
77	75	891
78	76	890
79	76	881
80	76	872
81	77	863
82	77	852
83	77	843
84	77	835
85	77	826
86	78	818
87	78	810
88	78	803
89	78	795
90	78	788
91	79	781
92	79	774
93	79	767
94	79	760
95	80	753
96	80	747
97	80	741
98	80	734
99	80	728
100	81	723
101	81	718
102	81	713
103	82	707
104	82	702
105	82	696
106	82	691
107	83	685
108	83	680
109	83	675
110	83	671
111	84	666
112	84	661
113	84	656
114	84	651
115	84	647
116	85	642
117	85	637
118	85	633
119	85	628
120	85	624
121	86	619
122	86	615
123	86	611
124	86	607
125	87	603
126	87	599
127	87	596
128	87	592
129	88	588
130	88	585
131	88	581
132	88	577
133	88	574
134	89	570
135	89	566
136	89	563
137	89	560
138	89	556
139	90	553
140	90	550
141	90	547
142	90	544
143	91	541
144	91	537
145	91	534
146	91	531
147	91	528
148	92	525
149	92	522
150	92	520
151	92	517
152	93	515
153	93	512
154	93	509
155	93	506
156	93	504
157	94	501
158	94	499
159	94	496
160	94	493
161	94	490
162	95	488
163	95	486
164	95	483
165	95	481
166	95	478
167	96	476
168	96	474
169	96	471
170	96	469
171	97	467
172	97	465
173	97	463
174	97	460
175	98	459
176	98	456
177	98	454
178	98	453
179	99	451
180	99	449
181	99	447
182	99	445
183	100	444
184	100	442
185	100	440
186	100	438
187	100	436
188	101	434
189	101	432
190	101	430
191	101	429
192	102	427
193	102	425
194	102	423
195	102	422
196	103	420
197	103	418
198	103	416
199	103	414
200	103	413
201	104	411
202	104	409
203	104	408
204	104	406
205	105	405
206	105	403
207	105	401
208	105	400
209	106	398
210	106	397
211	106	395
212	106	394
213	106	392
214	107	391
215	107	389
216	107	388
217	107	386
218	108	385
219	108	384
220	108	382
221	108	381
222	108	379
223	109	378
224	109	376
225	109	375
226	109	373
227	110	372
228	110	371
229	110	370
230	110	368
231	111	367
232	111	366
233	111	364
234	111	363
235	111	362
236	112	360
237	112	359
238	112	358
239	112	356
240	112	355
241	113	354
242	113	353
243	113	352
244	113	350
245	114	349
246	114	348
247	114	347
248	114	346
249	115	345
250	115	344
251	115	343
252	115	341
253	115	340
254	116	339
255	116	338
256	116	337
257	116	336
258	117	335
259	117	333
260	117	332
261	117	331
262	117	330
263	118	329
264	118	328
265	118	327
266	118	326
267	119	325
268	119	324
269	119	323
270	119	322
271	120	321
272	120	320
273	120	319
274	120	318
275	120	317
276	121	316
277	121	315
278	121	314
279	121	313
280	122	312
281	122	311
282	122	310
283	122	309
284	122	308
285	123	307
286	123	306
287	123	305
288	123	304
289	123	303
290	124	302
291	124	301
292	124	300
293	125	301
294	125	300
295	126	299
296	126	299
297	126	298
298	126	297
299	127	296
300	127	295
301	127	294
302	127	293
303	127	292
304	128	291
305	128	291
306	128	290
307	128	289
308	129	288
309	129	287
310	129	286
311	129	286
312	129	285
313	130	284
314	130	283
315	130	282
316	130	281
317	130	280
318	131	280
319	131	279
320	131	278
321	131	277
322	132	276
323	132	276
324	132	275
325	132	274
326	133	273
327	133	273
328	133	272
329	133	271
330	133	270
331	134	269
332	134	269
333	134	268
334	134	267
335	134	266
336	135	266
337	135	265
338	135	264
339	135	263
340	136	262
341	136	262
342	136	261
343	136	260
344	137	260
345	137	259
346	137	258
347	137	258
348	137	257
349	138	256
350	138	255
351	138	255
352	138	254
353	139	253
354	139	253
355	139	252
356	139	251
357	139	251
358	140	250
359	140	249
360	140	248
361	140	248
362	141	247
363	141	246
364	141	246
365	141	245
366	142	244
367	142	244
368	142	243
369	142	243
370	142	242
371	143	241
372	143	241
373	143	240
374	144	240
375	144	239
376	144	238
377	144	238
378	144	237
379	145	236
380	145	236
381	145	235
382	145	235
383	146	234
384	146	233
385	146	233
386	146	232
387	147	231
388	147	231
389	147	230
390	147	230
391	147	229
392	148	228
393	148	228
394	148	227
395	148	227
396	149	226
397	149	225
398	149	225
399	149	224
400	149	224
401	150	223
402	150	222
403	150	222
404	150	221
405	151	220
406	151	220
407	151	219
408	151	219
409	151	218
410	152	218
411	152	217
412	152	216
413	152	216
414	153	215
415	153	215
416	153	214
417	153	214
418	154	213
419	154	213
420	154	212
421	154	212
422	155	211
423	155	210
424	155	210
425	155	209
426	155	209
427	156	208
428	156	208
429	156	207
430	156	207
431	157	206
432	157	206
433	157	205
434	157	204
435	157	204
436	158	203
437	158	203
438	158	202
439	158	202
440	159	201
441	159	200
442	159	200
443	159	199
444	159	199
445	160	199
446	160	198
447	160	198
448	160	197
449	161	196
450	161	196
451	161	195
452	161	195
453	162	194
454	162	194
455	162	193
456	162	193
457	162	192
458	163	192
459	163	191
460	163	191
461	163	190
462	164	190
463	164	189
464	164	189
465	164	188
466	165	188
467	165	187
468	165	187
469	165	186
470	166	186
471	166	186
472	166	185
473	166	184
474	166	184
475	167	184
476	168	184
477	168	183
478	168	183
479	168	182
480	168	182
481	169	181
482	169	181
483	169	180
484	169	180
485	170	179
486	170	179
487	170	178
488	170	178
489	170	177
490	171	177
491	171	176
492	171	176
493	171	175
494	171	175
495	172	174
496	172	174
497	172	174
498	172	173
499	173	173
500	173	172
501	173	172
502	173	171
503	174	171
504	174	170
505	174	170
506	174	169
507	175	169
508	175	169
509	175	168
510	175	168
511	175	167
512	176	167
513	176	166
514	176	166
515	176	165
516	177	165
517	177	164
518	177	164
519	177	164
520	177	163
521	178	163
522	178	162
523	178	162
524	178	161
525	179	161
526	179	160
527	179	160
528	179	159
529	179	159
530	180	159
531	180	158
532	180	158
533	180	157
534	181	157
535	181	156
536	181	156
537	181	156
538	182	155
539	182	155
540	182	154
541	182	154
542	182	153
543	183	153
544	183	153
545	183	152
546	183	152
547	184	151
548	184	151
549	184	150
550	184	150
551	184	150
552	185	149
553	185	149
554	185	148
555	185	148
556	186	148
557	186	147
558	186	147
559	186	146
560	187	146
561	187	146
562	187	145
563	187	145
564	187	144
565	188	144
566	188	143
567	188	143
568	188	143
569	189	142
570	189	142
571	189	141
572	189	141
573	189	140
574	190	141
575	191	140
576	191	140
577	191	139
578	191	139
579	191	138
580	192	138
581	192	138
582	192	137
583	192	137
584	193	136
585	193	136
586	193	136
587	193	135
588	193	135
589	194	134
590	194	134
591	194	134
592	194	133
593	195	133
594	195	132
595	195	132
596	195	132
597	195	131
598	196	131
599	196	130
600	196	130
601	196	130
602	197	129
603	197	129
604	197	128
605	197	128
606	198	128
607	198	127
608	198	127
609	198	127
610	198	126
611	199	126
612	199	125
613	199	125
614	199	125
615	200	124
616	200	124
617	200	123
618	200	123
619	201	123
620	201	122
621	201	122
622	201	122
623	202	121
624	202	121
625	202	120
626	202	120
627	202	120
628	203	119
629	203	119
630	203	119
631	203	118
632	203	118
633	204	117
634	204	117
635	204	117
636	204	116
637	205	116
638	205	116
639	205	115
640	205	115
641	206	114
642	206	114
643	206	114
644	206	113
645	206	113
646	207	113
647	207	112
648	207	112
649	207	111
650	208	111
651	208	111
652	208	110
653	208	110
654	209	110
655	209	109
656	209	109
657	209	109
658	209	108
659	210	108
660	210	107
661	210	107
662	210	107
663	211	106
664	211	106
665	211	106
666	211	105
667	212	105
668	212	105
669	212	104
670	213	104
671	213	104
672	214	104
673	214	103
674	214	103
675	214	102
676	215	102
677	215	102
678	215	101
679	215	101
680	215	101
681	216	100
682	216	100
683	216	100
684	216	99
685	216	99
686	217	98
687	217	98
688	217	98
689	217	97
690	218	97
691	218	97
692	218	96
693	219	96
694	219	96
695	219	95
696	219	95
697	219	95
698	220	94
699	220	94
700	220	94
701	220	93
702	221	93
703	221	93
704	221	92
705	221	92
706	222	92
707	222	91
708	222	91
709	222	91
710	223	90
711	223	90
712	223	89
713	224	89
714	224	89
715	224	89
716	225	88
717	225	88
718	225	88
719	225	87
720	226	87
721	226	87
722	226	86
723	226	86
724	227	86
725	227	85
726	227	85
727	227	85
728	228	84
729	228	84
730	228	84
731	228	83
732	229	83
733	229	83
734	229	82
735	229	82
736	230	82
737	230	81
738	230	81
739	230	81
740	231	80
741	231	80
742	231	80
743	231	79
744	231	79
745	232	79
746	232	78
747	232	78
748	232	78
749	233	77
750	233	77
751	233	77
752	233	76
753	233	76
754	234	75
755	234	75
756	234	75
757	234	74
758	235	74
759	235	74
760	235	73
761	235	73
762	235	73
763	236	72
764	236	72
765	236	72
766	236	71
767	237	71
768	237	71
769	237	70
770	237	70
771	237	70
772	238	69
773	238	69
774	238	69
775	238	68
776	239	68
777	239	68
778	239	67
779	239	67
780	239	67
781	240	66
782	240	66
783	240	66
784	240	65
785	241	65
786	241	65
787	241	64
788	241	64
789	241	64
790	242	63
791	242	63
792	242	63
793	242	62
794	243	62
795	243	62
796	243	62
797	243	61
798	243	61
799	244	61
800	244	60
801	244	60
802	244	60
803	245	59
804	245	59
805	245	59
806	245	58
807	246	58
808	246	58
809	246	57
810	246	57
811	247	57
812	247	56
813	247	56
814	247	56
815	247	55
